Year,Month,Day,RR,TMAX,TMIN,UMAX,UMIN
2021,1,1,0.0,37.0,19.5,56.0,23.0
2021,1,2,0.0,36.0,22.5,36.0,28.0
2021,1,3,0.0,36.0,21.2,50.0,30.0
2021,1,4,0.0,36.4,23.0,41.0,26.0
2021,1,5,0.0,36.6,22.2,30.0,20.0
2021,1,6,0.0,36.6,20.7,38.0,21.0
2021,1,7,0.0,38.7,22.2,30.0,20.0
2021,1,8,0.0,39.6,20.5,44.0,18.0
2021,1,9,0.0,39.7,19.5,50.0,19.0
2021,1,10,0.0,39.5,19.5,50.0,18.0
2021,1,11,0.0,36.2,21.1,39.0,22.0
2021,1,12,0.0,36.6,20.7,33.0,24.0
2021,1,13,0.0,36.2,21.7,32.0,18.0
2021,1,14,0.0,36.7,21.2,33.0,15.0
2021,1,15,0.0,36.1,20.5,29.0,16.0
2021,1,16,0.0,34.5,19.2,25.0,18.0
2021,1,17,0.0,35.0,18.0,35.0,16.0
2021,1,18,0.0,35.4,19.4,23.0,17.0
2021,1,19,0.0,36.7,20.0,26.0,19.0
2021,1,20,0.0,38.1,20.3,35.0,18.0
2021,1,21,0.0,36.5,20.3,41.0,20.0
2021,1,22,0.0,35.0,21.0,38.0,21.0
2021,1,23,0.0,34.5,21.0,31.0,19.0
2021,1,24,0.0,36.2,18.0,36.0,18.0
2021,1,25,0.0,36.8,18.0,35.0,14.0
2021,1,26,0.0,37.7,18.3,43.0,19.0
2021,1,27,0.0,37.7,20.6,25.0,13.0
2021,1,28,0.0,38.0,22.2,25.0,17.0
2021,1,29,0.0,38.1,19.3,36.0,18.0
2021,1,30,0.0,38.0,22.0,36.0,24.0
2021,1,31,0.0,35.7,21.0,31.0,22.0
2021,2,1,0.0,36.8,18.8,38.0,23.0
2021,2,2,0.0,37.7,18.7,41.0,21.0
2021,2,3,0.0,37.9,17.6,48.0,26.0
2021,2,4,0.0,39.7,18.2,53.0,22.0
2021,2,5,0.0,39.0,19.3,46.0,21.0
2021,2,6,0.0,38.0,22.5,29.0,17.0
2021,2,7,0.0,29.1,23.5,35.0,29.0
2021,2,8,0.0,36.0,20.9,37.0,23.0
2021,2,9,0.0,37.3,21.9,38.0,20.0
2021,2,10,0.0,38.7,22.2,35.0,17.0
2021,2,11,0.0,40.3,24.2,26.0,15.0
2021,2,12,0.0,41.8,22.0,34.0,14.0
2021,2,13,0.0,42.0,20.6,40.0,14.0
2021,2,14,0.0,41.3,21.1,43.0,20.0
2021,2,15,0.0,40.7,23.5,38.0,21.0
2021,2,16,0.0,40.7,24.5,54.0,25.0
2021,2,17,0.0,36.7,25.6,63.0,38.0
2021,2,18,0.0,34.7,25.5,34.0,24.0
2021,2,19,0.0,38.0,24.5,48.0,26.0
2021,2,20,0.0,37.3,25.5,24.0,19.0
2021,2,21,0.0,39.0,22.2,42.0,17.0
2021,2,22,0.0,37.8,21.2,39.0,13.0
2021,2,23,0.0,38.2,24.2,27.0,17.0
2021,2,24,0.0,38.5,22.3,29.0,17.0
2021,2,25,0.0,36.9,22.5,24.0,15.0
2021,2,26,0.0,34.9,20.7,27.0,17.0
2021,2,27,0.0,36.0,20.7,26.0,21.0
2021,2,28,0.0,37.3,24.5,28.0,21.0
2021,3,1,0.0,39.3,24.3,28.0,19.0
2021,3,2,0.0,40.2,27.3,31.0,19.0
2021,3,3,0.0,40.5,26.7,29.0,20.0
2021,3,4,0.0,41.5,24.5,48.0,21.0
2021,3,5,0.0,39.6,24.5,31.0,21.0
2021,3,6,0.0,40.0,25.5,42.0,26.0
2021,3,7,0.0,42.0,27.5,65.0,27.0
2021,3,8,0.0,37.7,27.9,33.0,23.0
2021,3,9,0.0,40.5,25.6,32.0,14.0
2021,3,10,0.0,38.7,25.0,31.0,19.0
2021,3,11,0.0,37.1,24.1,26.0,18.0
2021,3,12,0.0,35.0,23.0,25.0,20.0
2021,3,13,0.0,35.5,21.9,31.0,20.0
2021,3,14,0.0,37.3,23.0,31.0,21.0
2021,3,15,0.0,38.4,26.3,28.0,19.0
2021,3,16,0.0,39.2,24.9,33.0,16.0
2021,3,17,0.0,39.7,24.7,37.0,18.0
2021,3,18,0.0,39.6,24.5,29.0,19.0
2021,3,19,0.0,39.5,23.5,44.0,26.0
2021,3,20,0.0,39.5,27.6,55.0,29.0
2021,3,21,0.0,40.0,27.4,64.0,36.0
2021,3,22,0.0,37.8,26.7,61.0,35.0
2021,3,23,0.0,41.5,27.7,62.0,23.0
2021,3,24,0.0,41.6,26.5,30.0,18.0
2021,3,25,0.0,41.7,26.0,23.0,17.0
2021,3,26,0.0,41.5,25.5,26.0,22.0
2021,3,27,0.0,43.1,24.5,28.0,16.0
2021,3,28,0.0,40.5,25.5,48.0,35.0
2021,3,29,0.0,41.3,26.0,72.0,25.0
2021,3,30,0.0,40.6,24.4,49.0,27.0
2021,3,31,0.0,41.3,24.0,46.0,20.0
2021,4,1,0.0,41.5,25.1,44.0,23.0
2021,4,2,0.0,42.6,23.5,43.0,16.0
2021,4,3,0.0,42.3,24.8,33.0,18.0
2021,4,4,0.0,42.1,22.0,40.0,18.0
2021,4,5,0.0,43.5,23.5,47.0,19.0
2021,4,6,0.0,42.7,25.3,32.0,17.0
2021,4,7,0.0,42.7,24.9,39.0,15.0
2021,4,8,0.0,44.2,24.0,36.0,12.0
2021,4,9,0.0,44.7,27.0,28.0,13.0
2021,4,10,0.0,44.0,24.5,40.0,16.0
2021,4,11,0.0,44.0,24.5,45.0,18.0
2021,4,12,0.0,44.1,26.9,51.0,21.0
2021,4,13,0.0,43.6,27.0,51.0,24.0
2021,4,14,0.0,39.5,29.0,58.0,34.0
2021,4,15,0.0,41.5,27.5,64.0,30.0
2021,4,16,0.0,43.2,28.5,54.0,24.0
2021,4,17,0.0,34.0,28.4,61.0,25.0
2021,4,18,0.0,42.0,24.5,74.0,23.0
2021,4,19,0.0,42.8,26.8,35.0,15.0
2021,4,20,0.0,43.6,25.7,42.0,20.0
2021,4,21,0.0,42.0,28.2,59.0,27.0
2021,4,22,0.1,41.0,29.1,70.0,39.0
2021,4,23,0.0,42.3,27.5,64.0,27.0
2021,4,24,2.3,43.0,28.5,53.0,25.0
2021,4,25,0.0,40.2,26.8,64.0,31.0
2021,4,26,0.0,43.4,27.3,61.0,22.0
2021,4,27,0.0,42.8,27.5,61.0,32.0
2021,4,28,0.0,43.3,28.0,57.0,22.0
2021,4,29,0.0,41.5,28.9,63.0,33.0
2021,4,30,1.3,42.7,27.0,68.0,26.0
2021,5,1,0.7,35.0,24.0,88.0,51.0
2021,5,2,0.0,37.0,28.0,67.0,39.0
2021,5,3,0.0,36.3,29.6,67.0,44.0
2021,5,4,0.0,38.2,27.6,68.0,39.0
2021,5,5,0.0,40.4,29.2,69.0,24.0
2021,5,6,0.0,38.5,29.5,56.0,37.0
2021,5,7,2.7,41.1,28.0,64.0,34.0
2021,5,8,0.0,42.5,25.9,73.0,33.0
2021,5,9,0.0,41.0,29.2,61.0,41.0
2021,5,10,75.6,41.5,28.5,66.0,30.0
2021,5,11,0.0,39.7,27.0,65.0,44.0
2021,5,12,0.2,32.3,22.0,84.0,57.0
2021,5,13,0.0,41.8,24.6,90.0,23.0
2021,5,14,0.0,40.2,25.1,56.0,31.0
2021,5,15,0.0,41.0,28.2,65.0,39.0
2021,5,16,0.0,39.7,25.5,71.0,37.0
2021,5,17,0.0,41.2,28.0,71.0,46.0
2021,5,18,3.4,40.3,26.4,81.0,39.0
